Reaction ID,Name,Reaction equation,Gene
rxn02898_c0,O_Succinylbenzoyl_CoA_1_4_dihydroxy_2_naphthoate_lyase_c0,Succinylbenzoyl_CoA_c0 --> CoA_c0 + 1_4_Dihydroxy_2_naphthoate_c0,From ModelSEED
rxn01199_c0,ATP_D_xylulose_5_phosphotransferase_c0,ATP_c0 + D_Lyxulose_c0 <=> ADP_c0 + H_c0 + D_Xylulose5_phosphate_c0,From ModelSEED
rxn00771_c0,ATP_D_ribose_5_phosphate_1_phosphotransferase_c0,ATP_c0 + H_c0 + ribose_5_phosphate_c0 <=> ADP_c0 + Ribose_1_5_bisphosphate_c0,From ModelSEED
rxn00501_c0,3_Oxopropanoate_NAD_oxidoreductase_decarboxylating__CoA_acetylating_c0,NAD_c0 + CoA_c0 + 3_Oxopropanoate_c0 <=> NADH_c0 + CO2_c0 + Acetyl_CoA_c0,From ModelSEED
rxn10344_c0,Lead_Pb2_ABC_transporter_c0,H2O_c0 + ATP_c0 + Pb_c0 --> ADP_c0 + Phosphate_c0 + H_c0 + Pb_e0,From ModelSEED
rxn01547_c0,Guanosine_aminohydrolase_c0,H2O_c0 + H_c0 + Guanosine_c0 <=> NH3_c0 + Xanthosine_c0,From ModelSEED
rxn02320_c0,5_Amino_2_oxopentanoate_2_oxoglutarate_aminotransferase_c0,2_Oxoglutarate_c0 + L_histidinol_phosphate_c0 <=> L_Glutamate_c0 + imidazole_acetol_phosphate_c0,From ModelSEED
rxn06208_c0,N_Acyl_D_glucosamine_2_epimerase_c0,N_Acyl_D_glucosamine_c0 <=> N_Acyl_D_mannosamine_c0,From ModelSEED
rxn00262_c0,L_Aspartic_acid_oxygen_oxidoreductase_deaminating_c0,H2O_c0 + O2_c0 + L_Aspartate_c0 --> NH3_c0 + H2O2_c0 + Oxaloacetate_c0,From ModelSEED
rxn10262_c0,isopentadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase_c0,Glycerol_3_phosphate_c0 + CDP_1_2_diisopentadecanoylglycerol_c0 <=> CMP_c0 + Diisopentadecanoylphosphatidylglycerophosphate_c0,From ModelSEED
rxn10126_c0,succinate_dehyrdogenase_c0,FADH2_c0 + Ubiquinone_8_c0 --> FAD_c0 + H_c0 + Ubiquinol_8_c0,From ModelSEED
rxn09313_c0,Trimethylamine_N_oxide_reductase_menaquinol_8_c0,H_c0 + CH33NO_c0 + Menaquinol_8_c0 <=> H2O_c0 + CH33N_c0 + Menaquinone_8_c0,From ModelSEED
rxn04048_c0,cobalt_precorrin_4_methyltransferase_c0,S_Adenosyl_L_methionine_c0 + Cobalt_precorrin_4_c0 <=> S_Adenosyl_homocysteine_c0 + H_c0 + Cobalt_precorrin_5_c0,From ModelSEED
rxn01817_c0,N_N_Dimethylformamide_amidohydrolase_c0,H2O_c0 + DMF_c0 <=> Formate_c0 + CH32NH_c0,From ModelSEED
rxn10225_c0,isohexadecanoyl_phosphatidate_cytidylyltransferase_c0,CTP_c0 + 1_2_diisohexadecanoyl_sn_glycerol_3_phosphate_c0 <=> PPi_c0 + H_c0 + CDP_1_2_diisohexadecanoylglycerol_c0,From ModelSEED
rxn03463_c0,R05113_c0,CMP_N_acetylneuraminate_c0 + GT1a_c0 <=> CMP_c0 + H_c0 + GQ1_c0,From ModelSEED
rxn01486_c0,trans_trans_Farnesyl_diphosphate_isopentenyl_diphosphate_farnesyltranstransferase_c0,Isopentenyldiphosphate_c0 + Farnesyldiphosphate_c0 --> PPi_c0 + H_c0 + Geranylgeranyl_diphosphate_c0,From ModelSEED
rxn00898_c0,2_3_Dihydroxy_3_methylbutanoate_hydro_lyase_c0,2_3_Dihydroxy_isovalerate_c0 --> H2O_c0 + 3_Methyl_2_oxobutanoate_c0,From ModelSEED
rxn05040_c0,D_ribulose_5_phosphate_formate_lyase_L_3_4_dihydroxybutan_2_one_4_phosphate_forming_c0,D_Ribulose5_phosphate_c0 --> Formate_c0 + H_c0 + 3_4_dihydroxy_2_butanone4_phosphate_c0,From ModelSEED
rxn08556_c0,sn_glycerol_3_phosphate_ubiquinone_8_oxidoreductase_c0,Glycerol_3_phosphate_c0 + Ubiquinone_8_c0 --> Glycerone_phosphate_c0 + Ubiquinol_8_c0,From ModelSEED
rxn01843_c0,2_phenylacetamide_amidohydrolase_c0,H2O_c0 + H_c0 + 2_Phenylacetamide_c0 <=> NH3_c0 + PACT_c0,From ModelSEED
rxn00816_c0,Lactose_galactohydrolase_c0,H2O_c0 + LACT_c0 <=> D_Glucose_c0 + Galactose_c0,From ModelSEED
rxn01750_c0,CDPglucose_4_6_hydro_lyase_c0,CDP_glucose_c0 --> H2O_c0 + CDP_4_dehydro_6_deoxy_D_glucose_c0,From ModelSEED
rxn02988_c0,glycerone_phosphate_iminosuccinate_alkyltransferase_cyclizing_c0,Glycerone_phosphate_c0 + Iminoaspartate_c0 --> 2.0 H2O_c0 + Phosphate_c0 + Quinolinate_c0,From ModelSEED
rxn10228_c0,isotetradecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0,L_Serine_c0 + CDP_1_2_diisotetradecanoylglycerol_c0 --> CMP_c0 + 2.0 H_c0 + Diisotetradecanoylphosphatidylserine_c0,From ModelSEED
rxn05542_c0,oligopeptide_transporting_ATPase_c0,H2O_c0 + ATP_c0 + L_alanylglycine_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + L_alanylglycine_c0,From ModelSEED
rxn00539_c0,ethanolamine_ammonia_lyase_acetaldehyde_forming_c0,Aminoethanol_c0 --> NH3_c0 + Acetaldehyde_c0,From ModelSEED
rxn00678_c0,S_2_Methyl_3_oxopropanoyl_CoA_pyruvate_carboxyltransferase_c0,Pyruvate_c0 + D_methylmalonyl_CoA_c0 <=> Oxaloacetate_c0 + Propionyl_CoA_c0,From ModelSEED
rxn01121_c0,D_gluconate_hydro_lyase_2_dehydro_3_deoxy_D_gluconate_forming_c0,GLCN_c0 --> H2O_c0 + 2_keto_3_deoxygluconate_c0,From ModelSEED
rxn00001_c0,diphosphate_phosphohydrolase_c0,H2O_c0 + PPi_c0 --> 2.0 Phosphate_c0 + H_c0,From ModelSEED
rxn01331_c0,D_erythrose_4_phosphate_NAD_oxidoreductase_c0,H2O_c0 + NAD_c0 + D_Erythrose4_phosphate_c0 --> NADH_c0 + 2.0 H_c0 + 4_Phosphoerythronate_c0,From ModelSEED
rxn05545_c0,Dipeptide_transport_via_ABC_system_ala_thr_c0,H2O_c0 + ATP_c0 + ala_L_Thr_L_e0 --> ADP_c0 + Phosphate_c0 + H_c0 + ala_L_Thr_L_c0,From ModelSEED
rxn00671_c0,2_Methyl_3_oxopropanoate_NAD_oxidoreductase_CoA_propanoylating_c0,NAD_c0 + CoA_c0 + 3_Oxo_2_methylpropanoate_c0 <=> NADH_c0 + CO2_c0 + Propionyl_CoA_c0,From ModelSEED
rxn11268_c0,phosphate_ABC_transporter_permease_protein_c0,PPi_c0 + H_c0 --> PPi_e0 + H_e0,From ModelSEED
rxn00710_c0,orotidine_5_phosphate_carboxy_lyase_UMP_forming_c0,H_c0 + Orotidylic_acid_c0 --> CO2_c0 + UMP_c0,From ModelSEED
rxn01114_c0,ATP_D_ribulose_5_phosphotransferase_c0,ATP_c0 + D_Ribulose_c0 <=> ADP_c0 + H_c0 + D_Ribulose5_phosphate_c0,From ModelSEED
rxn04114_c0,S_adenosyl_L_methionine_16_Hydroxytabersonine_16_O_methyltransferase_c0,S_Adenosyl_L_methionine_c0 + 16_Hydroxytabersonine_c0 <=> S_Adenosyl_homocysteine_c0 + H_c0 + 16_Methoxytabersonine_c0,From ModelSEED
rxn02305_c0,2_methyl_4_amino_5_hydroxymethylpyrimidine_diphosphate_4_methyl_5_2_phosphoethyl_thiazole_2_methyl_4_aminopyridine_5_methenyltransferase_c0,4_Methyl_5__2_phosphoethyl_thiazole_c0 + 4_Amino_2_methyl_5_diphosphomethylpyrimidine_c0 <=> PPi_c0 + Thiamine_phosphate_c0,From ModelSEED
rxn00470_c0,L_ornithine_carboxy_lyase_putrescine_forming_c0,Ornithine_c0 + H_c0 --> CO2_c0 + Putrescine_c0,From ModelSEED
rxn02885_c0,R04134_c0,2_Hydroxyhepta_2_4_dienedioate_c0 --> 2_Oxohept_3_enedioate_c0,From ModelSEED
rxn01203_c0,R01647_c0,2_4_Dihydroxyhept_2_enedioate_c0 --> Pyruvate_c0 + 4_Oxobutanoate_c0,From ModelSEED
rxn00953_c0,L_Serine_hydro_lyase_adding_homocysteine_c0,L_Serine_c0 + Homocysteine_c0 <=> H2O_c0 + Cystathionine_c0,From ModelSEED
rxn11944_c0,Methyltransferase_c0,S_Adenosyl_L_methionine_c0 + Tetrahydropteroyltri_L_glutamate_c0 --> S_Adenosyl_homocysteine_c0 + H_c0 + 5_Methyltetrahydropteroyltri_L_glutamate_c0,From ModelSEED
